 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    79.0,    86.2,    0.32,    0.21,  0.00,   359.6,    -1.1,     1.0
    2, 194.549, 194.649,    82.6,    84.1,    0.30,    0.24,  0.00,   359.4,    -1.2,     0.8
    3, 194.649, 194.749,    92.0,    84.3,    0.32,    0.23,  0.00,   359.5,    -1.2,     1.0
    4, 194.749, 194.849,    82.4,    69.6,    0.35,    0.17,  0.00,   359.5,    -1.2,     1.1
    5, 194.849, 194.949,    74.3,    79.9,    0.35,    0.20,  0.00,   359.5,    -1.1,     1.0
    6, 194.949, 195.049,    82.4,    85.4,    0.36,    0.22,  0.00,   359.5,    -0.8,     1.0
    7, 195.049, 195.149,   103.6,   114.0,    0.32,    0.16,  0.00,   359.6,    -0.6,     1.1
    8, 195.149, 195.249,    85.5,    85.8,    0.31,    0.18,  0.00,   359.3,    -0.6,     1.2
    9, 195.249, 195.349,    96.4,    91.7,    0.26,    0.18,  0.00,   359.5,    -0.6,     1.3
   10, 195.349, 195.449,    61.7,    71.6,    0.11,    0.06,  0.00,   359.5,    -0.5,     1.3
   11, 195.449, 195.549,    59.8,    50.2,    0.11,    0.07,  0.00,   359.6,    -0.5,     1.5
   12, 195.549, 195.649,    75.2,    78.4,    0.11,    0.12,  0.50,   359.4,    -0.8,     1.5
   13, 195.649, 195.749,    65.7,    69.5,    0.15,    0.07,  0.00,   359.5,    -0.9,     1.4
   14, 195.749, 195.849,    45.1,    43.2,    0.14,    0.05,  0.00,   359.5,    -1.0,     1.4
   15, 195.849, 195.949,    49.1,    47.8,    0.12,    0.06,  0.00,   359.6,    -0.9,     1.3
   16, 195.949, 196.049,    54.5,    44.7,    0.11,    0.07,  0.00,   359.6,    -0.7,     1.4
   17, 196.049, 196.149,    51.2,    46.6,    0.09,    0.08,  0.00,   359.6,    -0.7,     1.7
   18, 196.149, 196.249,    43.9,    47.2,    0.10,    0.09,  0.00,   359.4,    -0.7,     1.7
   19, 196.249, 196.349,    46.1,    50.4,    0.10,    0.09,  0.00,   359.5,    -0.2,     1.8
   20, 196.349, 196.449,    48.5,    53.6,    0.11,    0.12,  0.00,   359.6,     1.4,     1.9
   21, 196.449, 196.549,   109.2,    76.7,    0.09,    0.11,  0.00,   359.4,    -0.2,     1.7
   22, 196.549, 196.649,    47.6,    52.7,    0.11,    0.07,  0.00,   359.5,    -2.3,     1.9
   23, 196.649, 196.749,    50.9,    48.8,    0.10,    0.08,  0.00,   359.6,    -2.7,     2.0
   24, 196.749, 196.849,    43.0,    43.9,    0.08,    0.08,  0.00,   359.5,    -1.4,     2.3
   25, 196.849, 196.949,    52.7,    46.2,    0.09,    0.07,  0.00,   359.5,    -0.9,     2.1
   26, 196.949, 197.049,    48.5,    49.3,    0.09,    0.07,  0.00,   359.6,    -0.9,     2.2
   27, 197.049, 197.149,    59.2,    56.4,    0.08,    0.07,  0.00,   359.5,    -0.9,     2.1
   28, 197.149, 197.249,    52.8,    45.0,    0.09,    0.07,  0.00,   359.4,    -0.9,     2.0
   29, 197.249, 197.349,    48.1,    51.7,    0.09,    0.09,  0.00,   359.6,    -0.9,     2.0
   30, 197.349, 197.449,    45.9,    41.4,    0.09,    0.09,  0.00,   359.5,    -0.8,     2.0
   31, 197.449, 197.549,    49.0,    43.4,    0.09,    0.08,  0.00,   359.5,    -0.6,     1.6
   32, 197.549, 197.649,    49.6,    45.3,    0.09,    0.08,  0.00,   359.6,    -0.3,     1.8
   33, 197.649, 197.749,    44.7,    47.3,    0.09,    0.08,  0.00,   359.6,    -0.2,     1.9
   34, 197.749, 197.849,    47.4,    51.2,    0.10,    0.09,  0.00,   359.5,    -0.2,     2.0
   35, 197.849, 197.949,    54.0,    54.0,    0.09,    0.09,  0.00,   359.5,    -0.2,     2.1
   36, 197.949, 198.049,    44.1,    47.1,    0.08,    0.08,  0.00,   359.4,    -0.2,     2.0
   37, 198.049, 198.149,    51.6,    46.0,    0.09,    0.09,  0.00,   359.5,    -0.1,     2.0
   38, 198.149, 198.249,    48.3,    44.2,    0.09,    0.11,  0.00,   359.5,     0.0,     1.8
   39, 198.249, 198.349,    54.0,    58.2,    0.08,    0.09,  0.00,   359.6,     0.1,     2.0
   40, 198.349, 198.449,    51.2,    42.5,    0.09,    0.09,  0.00,   359.5,     0.2,     2.1
   41, 198.449, 198.549,    46.8,    46.8,    0.09,    0.11,  0.00,   359.6,     0.1,     2.1
   42, 198.549, 198.649,    45.8,    42.4,    0.09,    0.11,  0.00,   359.6,     0.2,     2.0
   43, 198.649, 198.749,    43.6,    42.2,    0.11,    0.11,  0.00,   359.4,     0.2,     1.9
   44, 198.749, 198.849,    41.7,    42.9,    0.11,    0.09,  0.00,   359.6,     0.2,     1.9
   45, 198.849, 198.949,    39.7,    46.8,    0.09,    0.10,  0.00,   359.6,     0.2,     2.0
   46, 198.949, 199.049,    44.6,    45.8,    0.09,    0.12,  0.00,   359.5,     0.1,     2.0
   47, 199.049, 199.149,    47.1,    47.2,    0.10,    0.09,  0.00,   359.4,     0.1,     1.9
   48, 199.149, 199.249,    47.7,    49.8,    0.09,    0.06,  0.00,   359.6,    -0.1,     1.7
   49, 199.249, 199.349,    55.3,    73.2,    0.07,    0.08,  0.00,   359.5,     0.0,     1.7
   50, 199.349, 199.445,    60.3,    62.6,    0.08,    0.07,  0.00,   359.5,     0.4,     1.5
