 Line,                     Road, Set,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
    1,            Interstate 15,  55, 194.449, 194.549,    84.3,   101.5,    0.29,    0.21,   359.6,     2.8,     1.0
    2,            Interstate 15,  55, 194.549, 194.649,    83.6,    96.0,    0.27,    0.23,   359.5,     2.6,     0.8
    3,            Interstate 15,  55, 194.649, 194.749,    82.9,   106.4,    0.25,    0.26,   359.5,     2.3,     1.1
    4,            Interstate 15,  55, 194.749, 194.849,    81.3,    80.5,    0.31,    0.17,   359.5,     2.1,     1.2
    5,            Interstate 15,  55, 194.849, 194.949,    75.1,    87.8,    0.30,    0.19,   359.5,     2.0,     1.0
    6,            Interstate 15,  55, 194.949, 195.049,    80.7,    87.0,    0.32,    0.22,   359.5,     2.2,     1.0
    7,            Interstate 15,  55, 195.049, 195.149,   103.6,   115.0,    0.30,    0.18,   359.6,     2.2,     1.1
    8,            Interstate 15,  55, 195.149, 195.249,    81.1,    91.9,    0.27,    0.18,   359.4,     2.0,     1.1
    9,            Interstate 15,  55, 195.249, 195.349,    96.7,    92.8,    0.22,    0.18,   359.5,     1.8,     1.1
   10,            Interstate 15,  55, 195.349, 195.449,    66.8,    71.6,    0.10,    0.07,   359.5,     1.8,     1.2
   11,            Interstate 15,  55, 195.449, 195.549,    60.2,    54.5,    0.10,    0.07,   359.5,     1.6,     1.4
   12,            Interstate 15,  55, 195.549, 195.649,    74.4,    69.6,    0.11,    0.09,   359.6,     1.2,     1.3
   13,            Interstate 15,  55, 195.649, 195.749,    92.9,    79.5,    0.15,    0.08,   359.5,     1.0,     1.1
   14,            Interstate 15,  55, 195.749, 195.849,    53.8,    46.9,    0.12,    0.08,   359.5,     0.8,     1.2
   15,            Interstate 15,  55, 195.849, 195.949,    50.0,    49.0,    0.10,    0.08,   359.5,     0.8,     1.1
   16,            Interstate 15,  55, 195.949, 196.049,    56.2,    51.1,    0.13,    0.08,   359.6,     0.8,     1.2
   17,            Interstate 15,  55, 196.049, 196.149,    52.2,    50.3,    0.08,    0.07,   359.6,     0.7,     1.5
   18,            Interstate 15,  55, 196.149, 196.249,    44.2,    47.9,    0.10,    0.09,   359.5,     0.6,     1.6
   19,            Interstate 15,  55, 196.249, 196.349,    50.8,    50.2,    0.10,    0.08,   359.5,     1.0,     1.6
   20,            Interstate 15,  55, 196.349, 196.449,    44.9,    55.1,    0.11,    0.10,   359.7,     2.6,     1.8
   21,            Interstate 15,  55, 196.449, 196.549,   106.0,    83.2,    0.10,    0.12,   359.4,     0.9,     1.7
   22,            Interstate 15,  55, 196.549, 196.649,    47.6,    53.1,    0.11,    0.09,   359.5,    -1.2,     2.0
   23,            Interstate 15,  55, 196.649, 196.749,    49.4,    52.2,    0.10,    0.08,   359.5,    -1.7,     2.0
   24,            Interstate 15,  55, 196.749, 196.849,    46.6,    44.5,    0.10,    0.08,   359.6,    -0.5,     2.2
   25,            Interstate 15,  55, 196.849, 196.949,    50.5,    52.9,    0.10,    0.08,   359.5,    -0.0,     2.1
