 Line,                     Road, Set,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
    1,            Interstate 15,  51, 194.449, 194.549,    80.3,    87.4,    0.29,    0.21,   359.5,     0.0,     0.0
    2,            Interstate 15,  51, 194.549, 194.649,    85.3,    91.1,    0.27,    0.22,   359.5,     0.0,     0.0
    3,            Interstate 15,  51, 194.649, 194.749,    87.4,    95.6,    0.29,    0.23,   359.5,     0.0,     0.0
    4,            Interstate 15,  51, 194.749, 194.849,    83.6,    72.5,    0.31,    0.17,   359.5,     0.0,     0.0
    5,            Interstate 15,  51, 194.849, 194.949,    73.7,    81.0,    0.32,    0.20,   359.5,     0.0,     0.0
    6,            Interstate 15,  51, 194.949, 195.049,    85.2,    87.2,    0.32,    0.23,   359.5,     0.0,     0.0
    7,            Interstate 15,  51, 195.049, 195.149,   106.3,   111.5,    0.30,    0.17,   359.6,     0.0,     0.0
    8,            Interstate 15,  51, 195.149, 195.249,    84.2,    92.4,    0.27,    0.18,   359.5,     0.0,     0.0
    9,            Interstate 15,  51, 195.249, 195.349,    95.5,    95.5,    0.21,    0.17,   359.4,     0.0,     0.0
   10,            Interstate 15,  51, 195.349, 195.449,    60.1,    67.2,    0.10,    0.07,   359.5,     0.0,     0.0
   11,            Interstate 15,  51, 195.449, 195.549,    56.6,    51.3,    0.11,    0.07,   359.6,     0.0,     0.0
   12,            Interstate 15,  51, 195.549, 195.649,    80.6,    74.4,    0.11,    0.07,   359.6,     0.0,     0.0
   13,            Interstate 15,  51, 195.649, 195.749,    73.7,    69.9,    0.15,    0.08,   359.5,     0.0,     0.0
   14,            Interstate 15,  51, 195.749, 195.849,    49.6,    48.1,    0.12,    0.07,   359.4,     0.0,     0.0
   15,            Interstate 15,  51, 195.849, 195.949,    48.1,    50.2,    0.11,    0.07,   359.5,     0.0,     0.0
   16,            Interstate 15,  51, 195.949, 196.049,    53.3,    45.2,    0.12,    0.07,   359.6,     0.0,     0.0
   17,            Interstate 15,  51, 196.049, 196.149,    55.8,    45.8,    0.09,    0.07,   359.5,     0.0,     0.0
   18,            Interstate 15,  51, 196.149, 196.249,    46.7,    48.1,    0.10,    0.07,   359.5,     0.0,     0.0
   19,            Interstate 15,  51, 196.249, 196.349,    48.3,    49.5,    0.10,    0.07,   359.5,     0.0,     0.0
   20,            Interstate 15,  51, 196.349, 196.449,    47.3,    55.9,    0.10,    0.10,   359.6,     0.0,     0.0
   21,            Interstate 15,  51, 196.449, 196.549,   108.9,    80.5,    0.09,    0.10,   359.5,     0.0,     0.0
   22,            Interstate 15,  51, 196.549, 196.649,    46.8,    52.4,    0.10,    0.08,   359.5,     0.0,     0.0
   23,            Interstate 15,  51, 196.649, 196.749,    48.6,    49.6,    0.10,    0.07,   359.5,     0.0,     0.0
   24,            Interstate 15,  51, 196.749, 196.849,    43.8,    47.9,    0.10,    0.08,   359.6,     0.0,     0.0
   25,            Interstate 15,  51, 196.849, 196.949,    51.2,    50.6,    0.10,    0.08,   359.5,     0.0,     0.0
   26,            Interstate 15,  51, 196.949, 197.049,    53.5,    48.7,    0.10,    0.08,   359.6,     0.0,     0.0
   27,            Interstate 15,  51, 197.049, 197.149,    61.2,    56.2,    0.08,    0.06,   359.5,     0.0,     0.0
   28,            Interstate 15,  51, 197.149, 197.249,    55.2,    49.3,    0.08,    0.06,   359.6,     0.0,     0.0
   29,            Interstate 15,  51, 197.249, 197.349,    47.8,    53.2,    0.09,    0.07,   359.5,     0.0,     0.0
   30,            Interstate 15,  51, 197.349, 197.449,    53.9,    45.8,    0.07,    0.07,   359.5,     0.0,     0.0
   31,            Interstate 15,  51, 197.449, 197.549,    55.1,    43.8,    0.07,    0.07,   359.5,     0.0,     0.0
   32,            Interstate 15,  51, 197.549, 197.649,    50.9,    51.0,    0.07,    0.06,   359.5,     0.0,     0.0
   33,            Interstate 15,  51, 197.649, 197.749,    49.2,    46.4,    0.07,    0.06,   359.6,     0.0,     0.0
   34,            Interstate 15,  51, 197.749, 197.849,    48.7,    50.9,    0.07,    0.06,   359.6,     0.0,     0.0
   35,            Interstate 15,  51, 197.849, 197.949,    57.8,    55.9,    0.08,    0.07,   359.5,     0.0,     0.0
   36,            Interstate 15,  51, 197.949, 198.049,    54.3,    48.7,    0.08,    0.06,   359.5,     0.0,     0.0
   37,            Interstate 15,  51, 198.049, 198.149,    54.0,    47.4,    0.08,    0.07,   359.5,     0.0,     0.0
   38,            Interstate 15,  51, 198.149, 198.249,    51.1,    46.0,    0.09,    0.07,   359.5,     0.0,     0.0
   39,            Interstate 15,  51, 198.249, 198.349,    52.5,    57.2,    0.08,    0.08,   359.7,     0.0,     0.0
   40,            Interstate 15,  51, 198.349, 198.449,    63.3,    47.3,    0.08,    0.09,   359.5,     0.0,     0.0
   41,            Interstate 15,  51, 198.449, 198.549,    47.9,    47.7,    0.10,    0.12,   359.5,     0.0,     0.0
   42,            Interstate 15,  51, 198.549, 198.649,    47.3,    45.9,    0.10,    0.09,   359.5,     0.0,     0.0
