 Line,                     Road, Set,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
    1,            Interstate 15,  52, 194.449, 194.549,    81.2,    91.5,    0.28,    0.20,   359.5,     1.2,     1.2
    2,            Interstate 15,  52, 194.549, 194.649,    85.3,    87.5,    0.28,    0.22,   359.5,     0.9,     1.1
    3,            Interstate 15,  52, 194.649, 194.749,    88.9,    91.9,    0.27,    0.23,   359.5,     0.7,     1.2
    4,            Interstate 15,  52, 194.749, 194.849,    85.4,    73.6,    0.30,    0.18,   359.6,     0.5,     1.3
    5,            Interstate 15,  52, 194.849, 194.949,    72.8,    83.6,    0.29,    0.18,   359.5,     0.4,     1.1
    6,            Interstate 15,  52, 194.949, 195.049,    80.6,    87.7,    0.31,    0.21,   359.6,     0.5,     1.2
    7,            Interstate 15,  52, 195.049, 195.149,   105.9,   109.7,    0.29,    0.17,   359.5,     0.5,     1.2
    8,            Interstate 15,  52, 195.149, 195.249,    81.9,    94.5,    0.26,    0.16,   359.5,     0.5,     1.2
    9,            Interstate 15,  52, 195.249, 195.349,    95.9,    93.3,    0.22,    0.17,   359.5,     0.3,     1.3
   10,            Interstate 15,  52, 195.349, 195.449,    60.7,    67.1,    0.10,    0.07,   359.4,     0.2,     1.4
   11,            Interstate 15,  52, 195.449, 195.549,    59.3,    51.4,    0.10,    0.07,   359.6,     0.2,     1.7
   12,            Interstate 15,  52, 195.549, 195.649,    82.6,    79.0,    0.11,    0.08,   359.5,    -0.1,     1.6
   13,            Interstate 15,  52, 195.649, 195.749,    82.9,    65.6,    0.15,    0.08,   359.6,    -0.2,     1.5
   14,            Interstate 15,  52, 195.749, 195.849,    50.4,    47.2,    0.13,    0.08,   359.4,    -0.3,     1.5
   15,            Interstate 15,  52, 195.849, 195.949,    50.0,    47.9,    0.10,    0.06,   359.5,    -0.3,     1.3
   16,            Interstate 15,  52, 195.949, 196.049,    56.5,    47.0,    0.12,    0.07,   359.6,    -0.2,     1.4
   17,            Interstate 15,  52, 196.049, 196.149,    54.0,    49.0,    0.10,    0.07,   359.5,    -0.1,     1.6
   18,            Interstate 15,  52, 196.149, 196.249,    45.7,    48.2,    0.08,    0.06,   359.5,    -0.1,     1.7
   19,            Interstate 15,  52, 196.249, 196.349,    50.3,    51.1,    0.09,    0.07,   359.5,     0.4,     1.7
   20,            Interstate 15,  52, 196.349, 196.449,    45.1,    55.0,    0.09,    0.08,   359.6,     2.1,     1.9
   21,            Interstate 15,  52, 196.449, 196.549,   109.0,    82.9,    0.08,    0.09,   359.5,     0.4,     1.8
   22,            Interstate 15,  52, 196.549, 196.649,    49.0,    56.0,    0.09,    0.06,   359.5,    -1.6,     2.0
   23,            Interstate 15,  52, 196.649, 196.749,    47.6,    51.6,    0.09,    0.07,   359.5,    -1.9,     2.0
   24,            Interstate 15,  52, 196.749, 196.849,    43.8,    45.1,    0.09,    0.07,   359.5,    -0.6,     2.2
   25,            Interstate 15,  52, 196.849, 196.949,    57.2,    46.0,    0.08,    0.07,   359.4,    -0.1,     2.0
   26,            Interstate 15,  52, 196.949, 197.049,    51.5,    48.6,    0.08,    0.07,   359.6,    -0.0,     2.1
   27,            Interstate 15,  52, 197.049, 197.149,    61.5,    60.5,    0.08,    0.06,   359.5,    -0.0,     2.0
   28,            Interstate 15,  52, 197.149, 197.249,    51.6,    46.2,    0.10,    0.08,   359.5,     0.1,     1.9
   29,            Interstate 15,  52, 197.249, 197.349,    44.8,    51.9,    0.09,    0.08,   359.5,     0.1,     2.0
   30,            Interstate 15,  52, 197.349, 197.449,    51.3,    45.5,    0.10,    0.08,   359.6,     0.2,     1.9
   31,            Interstate 15,  52, 197.449, 197.549,    49.8,    44.1,    0.10,    0.08,   359.5,     0.4,     1.6
   32,            Interstate 15,  52, 197.549, 197.649,    53.6,    53.5,    0.09,    0.08,   359.5,     0.6,     1.8
   33,            Interstate 15,  52, 197.649, 197.749,    51.1,    46.2,    0.08,    0.07,   359.6,     0.6,     1.9
   34,            Interstate 15,  52, 197.749, 197.849,    47.4,    48.4,    0.08,    0.06,   359.5,     0.7,     2.0
   35,            Interstate 15,  52, 197.849, 197.949,    55.3,    56.5,    0.07,    0.05,   359.4,     0.7,     2.0
   36,            Interstate 15,  52, 197.949, 198.049,    48.9,    50.0,    0.08,    0.06,   359.5,     0.6,     2.0
   37,            Interstate 15,  52, 198.049, 198.149,    56.2,    48.0,    0.09,    0.07,   359.5,     0.7,     2.0
   38,            Interstate 15,  52, 198.149, 198.249,    49.5,    46.2,    0.08,    0.06,   359.5,     0.8,     1.8
   39,            Interstate 15,  52, 198.249, 198.349,    54.5,    59.9,    0.08,    0.07,   359.6,     0.9,     2.0
   40,            Interstate 15,  52, 198.349, 198.449,    56.2,    47.1,    0.08,    0.06,   359.5,     1.0,     2.1
   41,            Interstate 15,  52, 198.449, 198.549,    51.2,    45.9,    0.11,    0.10,   359.5,     1.0,     2.2
   42,            Interstate 15,  52, 198.549, 198.649,    49.6,    45.9,    0.09,    0.06,   359.5,     1.0,     2.0
   43,            Interstate 15,  52, 198.649, 198.749,    47.0,    44.7,    0.10,    0.07,   359.5,     1.0,     2.0
   44,            Interstate 15,  52, 198.749, 198.849,    44.7,    47.5,    0.10,    0.07,   359.5,     1.0,     2.0
   45,            Interstate 15,  52, 198.849, 198.949,    44.1,    47.3,    0.10,    0.07,   359.6,     1.0,     2.1
   46,            Interstate 15,  52, 198.949, 199.049,    46.1,    46.6,    0.11,    0.09,   359.5,     1.0,     2.2
   47,            Interstate 15,  52, 199.049, 199.149,    48.9,    51.0,    0.11,    0.07,   359.4,     0.8,     2.0
   48,            Interstate 15,  52, 199.149, 199.249,    48.7,    49.7,    0.10,    0.07,   359.5,     0.7,     1.8
   49,            Interstate 15,  52, 199.249, 199.349,    53.5,    74.0,    0.09,    0.08,   359.6,     0.9,     1.9
   50,            Interstate 15,  52, 199.349, 199.442,    65.1,    60.4,    0.10,    0.07,   359.4,     1.1,     1.6
