 Line,Start-Mi,  End-Mi,IRI LWP , IRI RWP, RUT LWP, RUT RWP,  FAUA, Heading,  %Grade,    C.S.
    1, 194.449, 194.549,    79.0,    93.1,    0.32,    0.23,  0.00,   359.5,    -0.1,     0.9
    2, 194.549, 194.649,    82.0,    78.0,    0.31,    0.24,  0.00,   359.5,    -0.2,     0.7
    3, 194.649, 194.749,    82.7,    94.7,    0.28,    0.26,  0.00,   359.6,    -0.2,     0.9
    4, 194.749, 194.849,    79.8,    78.8,    0.32,    0.18,  0.00,   359.5,    -0.3,     1.1
    5, 194.849, 194.949,    75.0,    84.3,    0.33,    0.22,  0.00,   359.5,    -0.5,     0.9
    6, 194.949, 195.049,    82.6,    89.7,    0.34,    0.20,  0.00,   359.6,    -0.3,     1.0
    7, 195.049, 195.149,   103.5,   138.1,    0.30,    0.16,  0.00,   359.6,    -0.2,     1.2
    8, 195.149, 195.249,    77.0,    93.6,    0.29,    0.20,  0.00,   359.3,    -0.3,     1.1
    9, 195.249, 195.349,    96.4,    92.7,    0.26,    0.20,  0.00,   359.5,    -0.5,     1.2
   10, 195.349, 195.449,    58.8,    67.2,    0.11,    0.07,  0.00,   359.4,    -0.5,     1.2
   11, 195.449, 195.549,    61.1,    54.3,    0.11,    0.08,  0.00,   359.6,    -0.6,     1.4
   12, 195.549, 195.649,    65.1,    57.6,    0.10,    0.12,  0.40,   359.6,    -0.9,     1.4
   13, 195.649, 195.749,    91.4,    81.6,    0.15,    0.11,  0.00,   359.4,    -1.1,     1.3
   14, 195.749, 195.849,    46.9,    44.1,    0.14,    0.06,  0.00,   359.4,    -1.2,     1.2
   15, 195.849, 195.949,    50.5,    47.4,    0.12,    0.07,  0.00,   359.5,    -1.2,     1.2
   16, 195.949, 196.049,    56.4,    47.1,    0.12,    0.07,  0.00,   359.5,    -1.1,     1.3
   17, 196.049, 196.149,    54.1,    46.8,    0.08,    0.09,  0.00,   359.7,    -1.1,     1.6
   18, 196.149, 196.249,    40.9,    47.7,    0.10,    0.10,  0.00,   359.4,    -1.1,     1.7
   19, 196.249, 196.349,    49.0,    49.7,    0.11,    0.09,  0.00,   359.6,    -0.6,     1.7
   20, 196.349, 196.449,    46.4,    51.6,    0.10,    0.12,  0.00,   359.5,     1.2,     1.9
   21, 196.449, 196.549,    98.0,    81.8,    0.09,    0.12,  0.22,   359.5,    -0.4,     1.8
   22, 196.549, 196.649,    46.9,    49.1,    0.11,    0.08,  0.00,   359.5,    -2.5,     2.0
   23, 196.649, 196.749,    46.5,    51.2,    0.10,    0.09,  0.00,   359.4,    -3.0,     2.0
   24, 196.749, 196.849,    46.3,    47.8,    0.11,    0.08,  0.00,   359.6,    -1.6,     2.3
   25, 196.849, 196.949,    52.7,    45.4,    0.10,    0.08,  0.00,   359.5,    -1.1,     2.1
   26, 196.949, 197.049,    53.6,    49.0,    0.10,    0.08,  0.00,   359.6,    -1.0,     2.2
   27, 197.049, 197.149,    63.6,    61.4,    0.09,    0.07,  0.00,   359.5,    -1.0,     2.2
   28, 197.149, 197.249,    57.0,    50.4,    0.10,    0.07,  0.00,   359.5,    -1.0,     2.0
   29, 197.249, 197.349,    48.9,    58.0,    0.08,    0.09,  0.00,   359.7,    -1.1,     2.1
   30, 197.349, 197.449,    52.7,    45.3,    0.09,    0.10,  0.00,   359.5,    -1.0,     2.0
   31, 197.449, 197.549,    47.0,    45.0,    0.08,    0.09,  0.00,   359.5,    -0.8,     1.8
   32, 197.549, 197.649,    47.2,    48.7,    0.08,    0.10,  0.00,   359.6,    -0.5,     2.0
   33, 197.649, 197.749,    45.8,    49.0,    0.09,    0.10,  0.00,   359.5,    -0.5,     2.1
   34, 197.749, 197.849,    49.0,    48.8,    0.11,    0.10,  0.00,   359.5,    -0.5,     2.2
   35, 197.849, 197.949,    53.1,    54.1,    0.09,    0.10,  0.00,   359.6,    -0.5,     2.3
   36, 197.949, 198.049,    46.5,    46.2,    0.09,    0.09,  0.00,   359.4,    -0.5,     2.2
   37, 198.049, 198.149,    52.3,    46.4,    0.10,    0.10,  0.00,   359.5,    -0.5,     2.2
   38, 198.149, 198.249,    52.1,    45.6,    0.10,    0.11,  0.00,   359.4,    -0.3,     1.9
   39, 198.249, 198.349,    53.0,    56.2,    0.09,    0.10,  0.00,   359.6,    -0.2,     2.1
   40, 198.349, 198.449,    52.9,    45.3,    0.09,    0.10,  0.00,   359.5,    -0.1,     2.1
   41, 198.449, 198.549,    45.8,    45.6,    0.10,    0.12,  0.00,   359.6,    -0.2,     2.2
   42, 198.549, 198.649,    46.9,    42.2,    0.11,    0.12,  0.00,   359.4,    -0.2,     2.0
   43, 198.649, 198.749,    45.7,    44.4,    0.11,    0.11,  0.00,   359.6,    -0.2,     2.0
   44, 198.749, 198.849,    41.7,    42.1,    0.10,    0.11,  0.00,   359.5,    -0.2,     1.9
   45, 198.849, 198.949,    43.6,    45.7,    0.11,    0.11,  0.00,   359.7,    -0.2,     2.1
   46, 198.949, 199.049,    45.0,    45.1,    0.10,    0.13,  0.00,   359.4,    -0.2,     2.2
   47, 199.049, 199.149,    47.2,    50.7,    0.11,    0.09,  0.00,   359.5,    -0.3,     2.0
   48, 199.149, 199.249,    47.7,    51.7,    0.09,    0.07,  0.00,   359.5,    -0.4,     1.8
   49, 199.249, 199.349,    55.8,    70.9,    0.08,    0.08,  0.00,   359.4,    -0.3,     1.9
   50, 199.349, 199.448,    60.9,    65.2,    0.08,    0.08,  0.00,   359.6,     0.0,     1.6
