 Line,                     Road, Set,Start-Mi,  End-Mi,IRI LWP , IRI R e, RUT L e, RUT R e, Heading,  %Grade,    C.S.
    1,            Interstate 15,  53, 194.449, 194.549,    79.9,    88.1,    0.27,    0.20,   359.5,    -0.1,     1.1
    2,            Interstate 15,  53, 194.549, 194.649,    82.6,    81.1,    0.26,    0.23,   359.5,    -0.2,     0.9
    3,            Interstate 15,  53, 194.649, 194.749,    89.0,   100.0,    0.26,    0.23,   359.5,    -0.3,     1.1
    4,            Interstate 15,  53, 194.749, 194.849,    84.6,    78.3,    0.30,    0.16,   359.5,    -0.3,     1.3
    5,            Interstate 15,  53, 194.849, 194.949,    77.4,    81.9,    0.30,    0.19,   359.5,    -0.2,     1.1
    6,            Interstate 15,  53, 194.949, 195.049,    81.8,    88.6,    0.30,    0.23,   359.6,     0.1,     1.1
    7,            Interstate 15,  53, 195.049, 195.149,   101.6,   120.4,    0.28,    0.16,   359.5,     0.2,     1.2
    8,            Interstate 15,  53, 195.149, 195.249,    82.4,    93.5,    0.25,    0.17,   359.4,     0.2,     1.3
    9,            Interstate 15,  53, 195.249, 195.349,    99.5,    95.2,    0.21,    0.18,   359.4,     0.2,     1.4
   10,            Interstate 15,  53, 195.349, 195.449,    66.6,    68.8,    0.10,    0.06,   359.5,     0.2,     1.4
   11,            Interstate 15,  53, 195.449, 195.549,    61.5,    54.7,    0.11,    0.06,   359.6,     0.2,     1.6
   12,            Interstate 15,  53, 195.549, 195.649,    81.8,    72.7,    0.09,    0.06,   359.4,     0.0,     1.5
   13,            Interstate 15,  53, 195.649, 195.749,    83.5,    78.6,    0.15,    0.07,   359.6,    -0.1,     1.4
   14,            Interstate 15,  53, 195.749, 195.849,    52.4,    46.8,    0.11,    0.06,   359.4,    -0.2,     1.4
   15,            Interstate 15,  53, 195.849, 195.949,    52.5,    48.1,    0.10,    0.07,   359.6,    -0.1,     1.3
   16,            Interstate 15,  53, 195.949, 196.049,    58.8,    49.5,    0.12,    0.07,   359.5,    -0.0,     1.5
   17,            Interstate 15,  53, 196.049, 196.149,    54.9,    47.7,    0.09,    0.08,   359.6,     0.1,     1.7
   18,            Interstate 15,  53, 196.149, 196.249,    44.9,    49.4,    0.09,    0.08,   359.4,     0.1,     1.7
   19,            Interstate 15,  53, 196.249, 196.349,    47.4,    50.4,    0.09,    0.07,   359.5,     0.7,     1.8
   20,            Interstate 15,  53, 196.349, 196.449,    48.8,    53.0,    0.10,    0.08,   359.5,     2.4,     1.9
   21,            Interstate 15,  53, 196.449, 196.549,   113.8,    85.0,    0.10,    0.09,   359.5,     0.8,     1.8
   22,            Interstate 15,  53, 196.549, 196.649,    52.0,    50.8,    0.10,    0.08,   359.5,    -1.2,     2.0
   23,            Interstate 15,  53, 196.649, 196.749,    46.0,    51.3,    0.10,    0.08,   359.5,    -1.5,     2.1
   24,            Interstate 15,  53, 196.749, 196.849,    45.8,    49.7,    0.10,    0.08,   359.5,    -0.2,     2.3
   25,            Interstate 15,  53, 196.849, 196.949,    57.2,    50.9,    0.10,    0.08,   359.5,     0.4,     2.1
   26,            Interstate 15,  53, 196.949, 197.049,    52.8,    48.3,    0.11,    0.08,   359.6,     0.5,     2.2
   27,            Interstate 15,  53, 197.049, 197.149,    59.7,    58.2,    0.10,    0.08,   359.5,     0.4,     2.2
   28,            Interstate 15,  53, 197.149, 197.249,    50.5,    48.2,    0.10,    0.08,   359.5,     0.4,     2.0
   29,            Interstate 15,  53, 197.249, 197.349,    48.6,    54.5,    0.10,    0.09,   359.5,     0.4,     2.1
   30,            Interstate 15,  53, 197.349, 197.449,    49.9,    44.1,    0.09,    0.08,   359.6,     0.5,     2.0
   31,            Interstate 15,  53, 197.449, 197.549,    50.5,    45.2,    0.09,    0.10,   359.4,     0.6,     1.7
