distance,corridorRB,beginMi,endMi,roadway,from,to,startLat,startLong,endLat,endLong,order
0.016452, C005250E,0,0.53, MAFB Entrance Road, Jct N-102 57th St, End N-105 At Malmstrom,47.507091,-111.215497,47.507029,-111.204167,69
0.016503, C005250E,0.52,0, MAFB Entrance Road, End 4 lane, Start 4 lane,47.50704,-111.204381,47.5071,-111.215497,70
0.01651, C005217N,0,1.593, 25th Street, Jct N-102 River Dr, Jct N-60 10th Ave,47.517153,-111.264369,47.494109,-111.264315,71
0.016514, C005250E,0.53,0, MAFB Entrance Road, End N-105 At Malmstrom, Jct N-102 57th St,47.507029,-111.204167,47.507091,-111.215497,72
0.016541, C003490N,0.7,0, 6TH ST NW, End of pavement, Jct 6th St SW/NW Smelter,47.533663,-111.324289,47.523543,-111.324181,73
0.017125, C007869N,0,2.1, FLOOD RD, Jct Dick Road, Woodland Est Road,47.45044,-111.341306,47.429921,-111.371951,74
0.017286, C005232W,0.131,0, 3rd Avenue S, Jct River Dr, Jct 2nd St S,47.501367,-111.307003,47.501659,-111.304299,75
0.017705, C005237N,0.242,0, Watson Coulee Rd., Jct Northwest Bypas, Jct Vaughn Rd,47.515958,-111.343329,47.512656,-111.342022,76
0.017733, C005237N,0,0.242, Watson Coulee Rd., Jct Vaughn Rd, Jct Northwest Bypas,47.512656,-111.342022,47.515958,-111.343329,77
0.018089, C005229N,0.832,0, Vaughn Road, Jct Northwest Bypass, Jct N-103 Central Ave W,47.515574,-111.350629,47.507829,-111.33883,78
0.018231, C005234E,0,1.143, 1st Avenue S, Jct Park Dr, Jct P-10 15th St S,47.504209,-111.306058,47.504102,-111.281626,79
0.019757, C005230E,0,0.981, 8th Avenue N, Jct 26th St N, Jct 38th St N,47.513906,-111.262416,47.51381,-111.241453,80
0.019853, C005230E,0.981,0, 8th Avenue N, Jct 38th St N, Jct 26th St N,47.51381,-111.241453,47.513906,-111.262416,81
0.01999, C005232W,0,0.131, 3rd Avenue S, Jct 2nd St S, Jct River Dr,47.501659,-111.304299,47.501367,-111.307003,82
0.0205, C005211N,0.855,0, 10th Street N, End 4 lane, Start 4 lane,47.529465,-111.28691,47.517677,-111.291975,83
0.020644, C005224S,0,1.294, 5th Street, Jct Park Dr, Jct N-60 10th Ave S,47.513019,-111.299003,47.494283,-111.299174,84
0.020644, C005224S,0,1.294, 5th Street, Jct Park Dr, Jct N-60 10th Ave S,47.513019,-111.29899,47.494283,-111.299161,85
0.023024, C005205N,0,2.915, River Dr. \\ 57th Street, Jct N-60 10th Ave S, Start Concrete,47.494098,-111.302942,47.517684,-111.291882,86
0.023238, C072125N,0.749,0, 17TH AVE S, Jct 13th St South, Jct 4th St S,47.487403,-111.300943,47.48746,-111.284945,87
0.025253, C005224S,0.4,0.98, 5th Street, Start 3 Lane, End 3 Lane,47.507226,-111.299036,47.498833,-111.299088,88
0.026063, C003568N,0,0.781, 9TH ST S, Jct 13th Ave S, Start of Avenue,47.491059,-111.292183,47.479749,-111.292427,89
0.026442, C005218W,0,2.939, 2nd Avenue N, Jct 37th St, Jct Park Dr,47.507221,-111.243253,47.507538,-111.306069,90
0.026451, C005218W,0,2.939, 2nd Avenue N, Jct 37th St, Jct Park Dr,47.507212,-111.243253,47.507529,-111.306069,91
0.026621, C005211N,1.35,0, 10th Street N, Jct N-10, Jct N-102 River Dr,47.535586,-111.281878,47.517676,-111.291962,92
0.027071, C005201N,0,3.279, 6th Street SW/NW Smelter, Jct N-60 10th Ave S, End Concrete,47.490051,-111.328812,47.524602,-111.306245,93
0.027073, C005201N,0,1.866, 6th Street SW/NW Smelter, Jct N-60 10th Ave S, End 4 lane,47.490049,-111.328825,47.515787,-111.324075,94
0.028525, C003904N,0,0.643, DICK ROAD, Jct Flood Road, Jct Fox Farm Rd,47.450452,-111.341318,47.450309,-111.327603,95
