Date,Temp,Country
6/1/1996,21.049,South Korea
7/1/1996,24.218,South Korea
8/1/1996,25.311,South Korea
9/1/1996,20.649,South Korea
10/1/1996,14.188,South Korea
11/1/1996,7.171,South Korea
12/1/1996,2.193,South Korea
1/1/1997,-1.631,South Korea
2/1/1997,1.568,South Korea
3/1/1997,6.893,South Korea
4/1/1997,12.267,South Korea
5/1/1997,17.154,South Korea
6/1/1997,22.095,South Korea
7/1/1997,25.017,South Korea
8/1/1997,25.535,South Korea
9/1/1997,19.674,South Korea
10/1/1997,13.618,South Korea
11/1/1997,9.162,South Korea
12/1/1997,2.474,South Korea
1/1/1998,-0.346,South Korea
2/1/1998,3.636,South Korea
3/1/1998,7.472,South Korea
4/1/1998,14.614,South Korea
5/1/1998,18.172,South Korea
6/1/1998,20.503,South Korea
7/1/1998,24.502,South Korea
8/1/1998,25.23,South Korea
9/1/1998,22.135,South Korea
10/1/1998,16.379,South Korea
11/1/1998,8.2,South Korea
12/1/1998,3.294,South Korea
1/1/1999,0.678,South Korea
2/1/1999,1.902,South Korea
3/1/1999,6.676,South Korea
4/1/1999,12.634,South Korea
5/1/1999,17.302,South Korea
6/1/1999,21.925,South Korea
7/1/1999,24.203,South Korea
8/1/1999,24.78,South Korea
9/1/1999,22.335,South Korea
10/1/1999,14.136,South Korea
11/1/1999,8.098,South Korea
12/1/1999,1.732,South Korea
1/1/2000,-0.349,South Korea
2/1/2000,-0.316,South Korea
3/1/2000,6.483,South Korea
4/1/2000,11.622,South Korea
5/1/2000,16.977,South Korea
6/1/2000,21.628,South Korea
7/1/2000,25.811,South Korea
8/1/2000,25.642,South Korea
9/1/2000,19.745,South Korea
10/1/2000,14.46,South Korea
11/1/2000,7.278,South Korea
12/1/2000,1.923,South Korea
1/1/2001,-1.964,South Korea
2/1/2001,1.164,South Korea
3/1/2001,5.761,South Korea
4/1/2001,12.777,South Korea
5/1/2001,18.444,South Korea
6/1/2001,21.878,South Korea
7/1/2001,25.799,South Korea
8/1/2001,25.561,South Korea
9/1/2001,21.059,South Korea
10/1/2001,15.568,South Korea
11/1/2001,7.276,South Korea
12/1/2001,0.788,South Korea
1/1/2002,1.245,South Korea
2/1/2002,2.889,South Korea
3/1/2002,8.33,South Korea
4/1/2002,13.45,South Korea
5/1/2002,17.106,South Korea
6/1/2002,21.45,South Korea
7/1/2002,24.619,South Korea
8/1/2002,24.06,South Korea
9/1/2002,20.364,South Korea
10/1/2002,13.098,South Korea
11/1/2002,5.028,South Korea
12/1/2002,2.167,South Korea
1/1/2003,-1.739,South Korea
2/1/2003,2.603,South Korea
3/1/2003,6.137,South Korea
4/1/2003,12.443,South Korea
5/1/2003,17.572,South Korea
6/1/2003,21.204,South Korea
7/1/2003,22.751,South Korea
8/1/2003,24.034,South Korea
9/1/2003,21.053,South Korea
10/1/2003,13.738,South Korea
11/1/2003,9.877,South Korea
12/1/2003,2.086,South Korea
1/1/2004,-0.713,South Korea
2/1/2004,3.3,South Korea
3/1/2004,6.664,South Korea
4/1/2004,13.064,South Korea
5/1/2004,17.576,South Korea
6/1/2004,22.092,South Korea
7/1/2004,25.471,South Korea
8/1/2004,25.257,South Korea
9/1/2004,21.027,South Korea
10/1/2004,14.379,South Korea
11/1/2004,9.24,South Korea
12/1/2004,3.024,South Korea
1/1/2005,-1.312,South Korea
2/1/2005,-0.589,South Korea
3/1/2005,4.777,South Korea
4/1/2005,13.071,South Korea
5/1/2005,16.877,South Korea
6/1/2005,22.485,South Korea
7/1/2005,25.174,South Korea
8/1/2005,25.31,South Korea
9/1/2005,21.609,South Korea
10/1/2005,14.38,South Korea
11/1/2005,8.659,South Korea
12/1/2005,-2.161,South Korea
1/1/2006,0.439,South Korea
2/1/2006,1.086,South Korea
3/1/2006,5.986,South Korea
4/1/2006,11.142,South Korea
5/1/2006,17.182,South Korea
6/1/2006,21.248,South Korea
7/1/2006,23.42,South Korea
8/1/2006,26.651,South Korea
9/1/2006,19.81,South Korea
10/1/2006,16.826,South Korea
11/1/2006,8.955,South Korea
12/1/2006,2.095,South Korea
1/1/2007,0.953,South Korea
2/1/2007,4.288,South Korea
3/1/2007,6.864,South Korea
4/1/2007,11.66,South Korea
5/1/2007,17.789,South Korea
6/1/2007,21.734,South Korea
7/1/2007,23.752,South Korea
8/1/2007,26.141,South Korea
9/1/2007,21.376,South Korea
10/1/2007,14.958,South Korea
11/1/2007,7.355,South Korea
12/1/2007,2.645,South Korea
1/1/2008,-0.229,South Korea
2/1/2008,-0.088,South Korea
3/1/2008,7.209,South Korea
4/1/2008,13.077,South Korea
5/1/2008,17.415,South Korea
6/1/2008,20.621,South Korea
7/1/2008,26.094,South Korea
8/1/2008,24.759,South Korea
